Segment,Country,Product,Discount Band, Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales ,COGS,Profit,Date,Month Number,Month Name,Year
Government,France,Montana,Low," $1,375.50 ", $5.00 , $20.00 ," $27,510.00 ", $275.10 ," $27,234.90 ",13755,13479.9,7/1/2014,7,July,2014
Government,Canada,Montana,Low," $1,830.00 ", $5.00 , $7.00 ," $12,810.00 ", $128.10 ," $12,681.90 ",9150,3531.9,8/1/2014,8,August,2014
Small Business,United States of America,Montana,Low," $2,498.00 ", $5.00 , $300.00 ," $749,400.00 "," $7,494.00 "," $741,906.00 ",624500,117406,9/1/2013,9,September,2013
Small Business,United States of America,Montana,Low," $2,498.00 ", $5.00 , $300.00 ," $749,400.00 "," $7,494.00 "," $741,906.00 ",624500,117406,9/1/2013,9,September,2013
Enterprise,United States of America,Montana,Low, $663.00 , $5.00 , $125.00 ," $82,875.00 ", $828.75 ," $82,046.25 ",79560,2486.25,10/1/2013,10,October,2013
Midmarket,United States of America,Paseo,Low," $1,514.00 ", $10.00 , $15.00 ," $22,710.00 ", $227.10 ," $22,482.90 ",15140,7342.9,2/1/2014,2,February,2014
Government,United States of America,Paseo,Low," $4,492.50 ", $10.00 , $7.00 ," $31,447.50 ", $314.48 ," $31,133.02 ",22462.5,8670.525,4/1/2014,4,April,2014
Enterprise,United States of America,Paseo,Low, $727.00 , $10.00 , $125.00 ," $90,875.00 ", $908.75 ," $89,966.25 ",87240,2726.25,6/1/2014,6,June,2014
Enterprise,France,Paseo,Low, $787.00 , $10.00 , $125.00 ," $98,375.00 ", $983.75 ," $97,391.25 ",94440,2951.25,6/1/2014,6,June,2014
Enterprise,Mexico,Paseo,Low," $1,823.00 ", $10.00 , $125.00 ," $227,875.00 "," $2,278.75 "," $225,596.25 ",218760,6836.25,7/1/2014,7,July,2014
Midmarket,Germany,Paseo,Low, $747.00 , $10.00 , $15.00 ," $11,205.00 ", $112.05 ," $11,092.95 ",7470,3622.95,9/1/2014,9,September,2014
Channel Partners,Germany,Paseo,Low, $766.00 , $10.00 , $12.00 ," $9,192.00 ", $91.92 ," $9,100.08 ",2298,6802.08,10/1/2013,10,October,2013
Small Business,United States of America,Paseo,Low," $2,905.00 ", $10.00 , $300.00 ," $871,500.00 "," $8,715.00 "," $862,785.00 ",726250,136535,11/1/2014,11,November,2014
Government,France,Paseo,Low," $2,155.00 ", $10.00 , $350.00 ," $754,250.00 "," $7,542.50 "," $746,707.50 ",560300,186407.5,12/1/2014,12,December,2014
Government,France,Velo,Low," $3,864.00 ", $120.00 , $20.00 ," $77,280.00 ", $772.80 ," $76,507.20 ",38640,37867.2,4/1/2014,4,April,2014
Government,Mexico,Velo,Low, $362.00 , $120.00 , $7.00 ," $2,534.00 ", $25.34 ," $2,508.66 ",1810,698.66,5/1/2014,5,May,2014
Enterprise,Canada,Velo,Low, $923.00 , $120.00 , $125.00 ," $115,375.00 "," $1,153.75 "," $114,221.25 ",110760,3461.25,8/1/2014,8,August,2014
Enterprise,United States of America,Velo,Low, $663.00 , $120.00 , $125.00 ," $82,875.00 ", $828.75 ," $82,046.25 ",79560,2486.25,10/1/2013,10,October,2013
Government,Canada,Velo,Low," $2,092.00 ", $120.00 , $7.00 ," $14,644.00 ", $146.44 ," $14,497.56 ",10460,4037.56,11/1/2013,11,November,2013
Government,Germany,VTT,Low, $263.00 , $250.00 , $7.00 ," $1,841.00 ", $18.41 ," $1,822.59 ",1315,507.59,3/1/2014,3,March,2014
Government,Canada,VTT,Low, $943.50 , $250.00 , $350.00 ," $330,225.00 "," $3,302.25 "," $326,922.75 ",245310,81612.75,4/1/2014,4,April,2014
Enterprise,United States of America,VTT,Low, $727.00 , $250.00 , $125.00 ," $90,875.00 ", $908.75 ," $89,966.25 ",87240,2726.25,6/1/2014,6,June,2014
Enterprise,France,VTT,Low, $787.00 , $250.00 , $125.00 ," $98,375.00 ", $983.75 ," $97,391.25 ",94440,2951.25,6/1/2014,6,June,2014
Small Business,Germany,VTT,Low, $986.00 , $250.00 , $300.00 ," $295,800.00 "," $2,958.00 "," $292,842.00 ",246500,46342,9/1/2014,9,September,2014
Small Business,Mexico,VTT,Low, $494.00 , $250.00 , $300.00 ," $148,200.00 "," $1,482.00 "," $146,718.00 ",123500,23218,10/1/2013,10,October,2013
Government,Mexico,VTT,Low," $1,397.00 ", $250.00 , $350.00 ," $488,950.00 "," $4,889.50 "," $484,060.50 ",363220,120840.5,10/1/2014,10,October,2014
Enterprise,France,VTT,Low," $1,744.00 ", $250.00 , $125.00 ," $218,000.00 "," $2,180.00 "," $215,820.00 ",209280,6540,11/1/2014,11,November,2014
Channel Partners,United States of America,Amarilla,Low," $1,989.00 ", $260.00 , $12.00 ," $23,868.00 ", $238.68 ," $23,629.32 ",5967,17662.32,9/1/2013,9,September,2013
Midmarket,France,Amarilla,Low, $321.00 , $260.00 , $15.00 ," $4,815.00 ", $48.15 ," $4,766.85 ",3210,1556.85,11/1/2013,11,November,2013
Enterprise,Canada,Carretera,Low, $742.50 , $3.00 , $125.00 ," $92,812.50 "," $1,856.25 "," $90,956.25 ",89100,1856.25,4/1/2014,4,April,2014
Channel Partners,Canada,Carretera,Low," $1,295.00 ", $3.00 , $12.00 ," $15,540.00 ", $310.80 ," $15,229.20 ",3885,11344.2,10/1/2014,10,October,2014
Small Business,Germany,Carretera,Low, $214.00 , $3.00 , $300.00 ," $64,200.00 "," $1,284.00 "," $62,916.00 ",53500,9416,10/1/2013,10,October,2013
Government,France,Carretera,Low," $2,145.00 ", $3.00 , $7.00 ," $15,015.00 ", $300.30 ," $14,714.70 ",10725,3989.7,11/1/2013,11,November,2013
Government,Canada,Carretera,Low," $2,852.00 ", $3.00 , $350.00 ," $998,200.00 "," $19,964.00 "," $978,236.00 ",741520,236716,12/1/2014,12,December,2014
Channel Partners,United States of America,Montana,Low," $1,142.00 ", $5.00 , $12.00 ," $13,704.00 ", $274.08 ," $13,429.92 ",3426,10003.92,6/1/2014,6,June,2014
Government,United States of America,Montana,Low," $1,566.00 ", $5.00 , $20.00 ," $31,320.00 ", $626.40 ," $30,693.60 ",15660,15033.6,10/1/2014,10,October,2014
Channel Partners,Mexico,Montana,Low, $690.00 , $5.00 , $12.00 ," $8,280.00 ", $165.60 ," $8,114.40 ",2070,6044.4,11/1/2014,11,November,2014
Enterprise,Mexico,Montana,Low," $1,660.00 ", $5.00 , $125.00 ," $207,500.00 "," $4,150.00 "," $203,350.00 ",199200,4150,11/1/2013,11,November,2013
Midmarket,Canada,Paseo,Low," $2,363.00 ", $10.00 , $15.00 ," $35,445.00 ", $708.90 ," $34,736.10 ",23630,11106.1,2/1/2014,2,February,2014
Small Business,France,Paseo,Low, $918.00 , $10.00 , $300.00 ," $275,400.00 "," $5,508.00 "," $269,892.00 ",229500,40392,5/1/2014,5,May,2014
Small Business,Germany,Paseo,Low," $1,728.00 ", $10.00 , $300.00 ," $518,400.00 "," $10,368.00 "," $508,032.00 ",432000,76032,5/1/2014,5,May,2014
Channel Partners,United States of America,Paseo,Low," $1,142.00 ", $10.00 , $12.00 ," $13,704.00 ", $274.08 ," $13,429.92 ",3426,10003.92,6/1/2014,6,June,2014
Enterprise,Mexico,Paseo,Low, $662.00 , $10.00 , $125.00 ," $82,750.00 "," $1,655.00 "," $81,095.00 ",79440,1655,6/1/2014,6,June,2014
Channel Partners,Canada,Paseo,Low," $1,295.00 ", $10.00 , $12.00 ," $15,540.00 ", $310.80 ," $15,229.20 ",3885,11344.2,10/1/2014,10,October,2014
Enterprise,Germany,Paseo,Low, $809.00 , $10.00 , $125.00 ," $101,125.00 "," $2,022.50 "," $99,102.50 ",97080,2022.5,10/1/2013,10,October,2013
Enterprise,Mexico,Paseo,Low," $2,145.00 ", $10.00 , $125.00 ," $268,125.00 "," $5,362.50 "," $262,762.50 ",257400,5362.5,10/1/2013,10,October,2013
Channel Partners,France,Paseo,Low," $1,785.00 ", $10.00 , $12.00 ," $21,420.00 ", $428.40 ," $20,991.60 ",5355,15636.6,11/1/2013,11,November,2013
Small Business,Canada,Paseo,Low," $1,916.00 ", $10.00 , $300.00 ," $574,800.00 "," $11,496.00 "," $563,304.00 ",479000,84304,12/1/2014,12,December,2014
Government,Canada,Paseo,Low," $2,852.00 ", $10.00 , $350.00 ," $998,200.00 "," $19,964.00 "," $978,236.00 ",741520,236716,12/1/2014,12,December,2014
Enterprise,Canada,Paseo,Low," $2,729.00 ", $10.00 , $125.00 ," $341,125.00 "," $6,822.50 "," $334,302.50 ",327480,6822.5,12/1/2014,12,December,2014
Midmarket,United States of America,Paseo,Low," $1,925.00 ", $10.00 , $15.00 ," $28,875.00 ", $577.50 ," $28,297.50 ",19250,9047.5,12/1/2013,12,December,2013
Government,United States of America,Paseo,Low," $2,013.00 ", $10.00 , $7.00 ," $14,091.00 ", $281.82 ," $13,809.18 ",10065,3744.18,12/1/2013,12,December,2013
Channel Partners,France,Paseo,Low," $1,055.00 ", $10.00 , $12.00 ," $12,660.00 ", $253.20 ," $12,406.80 ",3165,9241.8,12/1/2014,12,December,2014
Channel Partners,Mexico,Paseo,Low," $1,084.00 ", $10.00 , $12.00 ," $13,008.00 ", $260.16 ," $12,747.84 ",3252,9495.84,12/1/2014,12,December,2014
Government,United States of America,Velo,Low," $1,566.00 ", $120.00 , $20.00 ," $31,320.00 ", $626.40 ," $30,693.60 ",15660,15033.6,10/1/2014,10,October,2014
Government,Germany,Velo,Low," $2,966.00 ", $120.00 , $350.00 ," $1,038,100.00 "," $20,762.00 "," $1,017,338.00 ",771160,246178,10/1/2013,10,October,2013
Government,Germany,Velo,Low," $2,877.00 ", $120.00 , $350.00 ," $1,006,950.00 "," $20,139.00 "," $986,811.00 ",748020,238791,10/1/2014,10,October,2014
Enterprise,Germany,Velo,Low, $809.00 , $120.00 , $125.00 ," $101,125.00 "," $2,022.50 "," $99,102.50 ",97080,2022.5,10/1/2013,10,October,2013
Enterprise,Mexico,Velo,Low," $2,145.00 ", $120.00 , $125.00 ," $268,125.00 "," $5,362.50 "," $262,762.50 ",257400,5362.5,10/1/2013,10,October,2013
Channel Partners,France,Velo,Low," $1,055.00 ", $120.00 , $12.00 ," $12,660.00 ", $253.20 ," $12,406.80 ",3165,9241.8,12/1/2014,12,December,2014
Government,Mexico,Velo,Low, $544.00 , $120.00 , $20.00 ," $10,880.00 ", $217.60 ," $10,662.40 ",5440,5222.4,12/1/2013,12,December,2013
Channel Partners,Mexico,Velo,Low," $1,084.00 ", $120.00 , $12.00 ," $13,008.00 ", $260.16 ," $12,747.84 ",3252,9495.84,12/1/2014,12,December,2014
Enterprise,Mexico,VTT,Low, $662.00 , $250.00 , $125.00 ," $82,750.00 "," $1,655.00 "," $81,095.00 ",79440,1655,6/1/2014,6,June,2014
Small Business,Germany,VTT,Low, $214.00 , $250.00 , $300.00 ," $64,200.00 "," $1,284.00 "," $62,916.00 ",53500,9416,10/1/2013,10,October,2013
Government,Germany,VTT,Low," $2,877.00 ", $250.00 , $350.00 ," $1,006,950.00 "," $20,139.00 "," $986,811.00 ",748020,238791,10/1/2014,10,October,2014
Enterprise,Canada,VTT,Low," $2,729.00 ", $250.00 , $125.00 ," $341,125.00 "," $6,822.50 "," $334,302.50 ",327480,6822.5,12/1/2014,12,December,2014
Government,United States of America,VTT,Low, $266.00 , $250.00 , $350.00 ," $93,100.00 "," $1,862.00 "," $91,238.00 ",69160,22078,12/1/2013,12,December,2013
Government,Mexico,VTT,Low," $1,940.00 ", $250.00 , $350.00 ," $679,000.00 "," $13,580.00 "," $665,420.00 ",504400,161020,12/1/2013,12,December,2013
Small Business,Germany,Amarilla,Low, $259.00 , $260.00 , $300.00 ," $77,700.00 "," $1,554.00 "," $76,146.00 ",64750,11396,3/1/2014,3,March,2014
Small Business,Mexico,Amarilla,Low," $1,101.00 ", $260.00 , $300.00 ," $330,300.00 "," $6,606.00 "," $323,694.00 ",275250,48444,3/1/2014,3,March,2014
Enterprise,Germany,Amarilla,Low," $2,276.00 ", $260.00 , $125.00 ," $284,500.00 "," $5,690.00 "," $278,810.00 ",273120,5690,5/1/2014,5,May,2014
Government,Germany,Amarilla,Low," $2,966.00 ", $260.00 , $350.00 ," $1,038,100.00 "," $20,762.00 "," $1,017,338.00 ",771160,246178,10/1/2013,10,October,2013
Government,United States of America,Amarilla,Low," $1,236.00 ", $260.00 , $20.00 ," $24,720.00 ", $494.40 ," $24,225.60 ",12360,11865.6,11/1/2014,11,November,2014
Government,France,Amarilla,Low, $941.00 , $260.00 , $20.00 ," $18,820.00 ", $376.40 ," $18,443.60 ",9410,9033.6,11/1/2014,11,November,2014
Small Business,Canada,Amarilla,Low," $1,916.00 ", $260.00 , $300.00 ," $574,800.00 "," $11,496.00 "," $563,304.00 ",479000,84304,12/1/2014,12,December,2014
Enterprise,France,Carretera,Low," $4,243.50 ", $3.00 , $125.00 ," $530,437.50 "," $15,913.13 "," $514,524.38 ",509220,5304.375,4/1/2014,4,April,2014
Government,Germany,Carretera,Low," $2,580.00 ", $3.00 , $20.00 ," $51,600.00 "," $1,548.00 "," $50,052.00 ",25800,24252,4/1/2014,4,April,2014
Small Business,Germany,Carretera,Low, $689.00 , $3.00 , $300.00 ," $206,700.00 "," $6,201.00 "," $200,499.00 ",172250,28249,6/1/2014,6,June,2014
Channel Partners,United States of America,Carretera,Low," $1,947.00 ", $3.00 , $12.00 ," $23,364.00 ", $700.92 ," $22,663.08 ",5841,16822.08,9/1/2014,9,September,2014
Channel Partners,Canada,Carretera,Low, $908.00 , $3.00 , $12.00 ," $10,896.00 ", $326.88 ," $10,569.12 ",2724,7845.12,12/1/2013,12,December,2013
Government,Germany,Montana,Low," $1,958.00 ", $5.00 , $7.00 ," $13,706.00 ", $411.18 ," $13,294.82 ",9790,3504.82,2/1/2014,2,February,2014
Channel Partners,France,Montana,Low," $1,901.00 ", $5.00 , $12.00 ," $22,812.00 ", $684.36 ," $22,127.64 ",5703,16424.64,6/1/2014,6,June,2014
Government,France,Montana,Low, $544.00 , $5.00 , $7.00 ," $3,808.00 ", $114.24 ," $3,693.76 ",2720,973.76,9/1/2014,9,September,2014
Government,Germany,Montana,Low," $1,797.00 ", $5.00 , $350.00 ," $628,950.00 "," $18,868.50 "," $610,081.50 ",467220,142861.5,9/1/2013,9,September,2013
Enterprise,France,Montana,Low," $1,287.00 ", $5.00 , $125.00 ," $160,875.00 "," $4,826.25 "," $156,048.75 ",154440,1608.75,12/1/2014,12,December,2014
Enterprise,Germany,Montana,Low," $1,706.00 ", $5.00 , $125.00 ," $213,250.00 "," $6,397.50 "," $206,852.50 ",204720,2132.5,12/1/2014,12,December,2014
Small Business,France,Paseo,Low," $2,434.50 ", $10.00 , $300.00 ," $730,350.00 "," $21,910.50 "," $708,439.50 ",608625,99814.5,1/1/2014,1,January,2014
Enterprise,Canada,Paseo,Low," $1,774.00 ", $10.00 , $125.00 ," $221,750.00 "," $6,652.50 "," $215,097.50 ",212880,2217.5,3/1/2014,3,March,2014
Channel Partners,France,Paseo,Low," $1,901.00 ", $10.00 , $12.00 ," $22,812.00 ", $684.36 ," $22,127.64 ",5703,16424.64,6/1/2014,6,June,2014
Small Business,Germany,Paseo,Low, $689.00 , $10.00 , $300.00 ," $206,700.00 "," $6,201.00 "," $200,499.00 ",172250,28249,6/1/2014,6,June,2014
Enterprise,Germany,Paseo,Low," $1,570.00 ", $10.00 , $125.00 ," $196,250.00 "," $5,887.50 "," $190,362.50 ",188400,1962.5,6/1/2014,6,June,2014
